State,Code,Location,"Square
Feet","Year
Opened",Description of Operation
Arizona,PHX3,"6835 West Buckeye Road, Phoenix, Arizona, USA, 85043- 4428","1,009,400","September
2007","Large Sortable & Apparel Fulfillment Center. Originally opened at 605,000 Sq. Ft and expanded by 400,000 Sq. Ft. in Dec. 2011"
Arizona,PHX5,"16920 W. Commerce Dr. , Goodyear, Arizona, USA, 85338- 3620","820,400","June
2008","Large Non-Sortable Fulfillment Center.
Originally opened at 800,000 Sq. Ft. and expanded to 1.2 Million Sq. Ft by adding 2 x 230,000 sq ft mezzanines in 2011."
Arizona,PHX6/ TFC1,"4750 & 5050 West Mohave Street, Phoenix, Arizona, USA, 85043-4428","1,205,600","October
2010","Large Sortable Fulfillment Center in one half of the building. Small Sortable Fulfillment
Center in the other half"
Arizona,PHX7/ PHX8,"800 N. 75th Ave, Phoenix,
Arizona, USA, 85043-3101","267,
100 1 .","September
2011","PHX7 is Large Non-Sortable
PHX8 is a Sortation Center"
Arizona,PHX9,"777 S 79th Ave, Tolleson, Arizona, USA, 85353","580,100","October
2015",PHX9 is a Seasonal FC
Arizona,RUSH,"7037 West Van Buren Street , Phoenix, Arizona, USA, 85043","543,400","October
2015","Large Non-Sortable FC
Run by 3PL Menlo Logistics"
California,ONT2/ ONT3,"1910 E. Central Ave., Building 3, San Bernardino, California, USA, 92408-0123","1,466,700","October
2012","ONT2 is Small Sortable
ONT3 is Make on Demand Printing (MOD) 2,000 associates"
California,ONT6,"24208 San Michele Rd, Moreno Valley, California, USA, 92551- 9561","1,250,000","August
2014",Small Sortable & Apparel Fulfillment Center 3.000 people
California,ONT9,"2125 W. San Bernardino Ave, Redlands, California, USA, 92374-5005","777,600","October
2014",Non-Sortable Fulfillment Center Ships large items (e.g. televisions)
California,LGB1,"2417 E. Carson St., Long Beach, California, USA, 90810","468,100","June
2016",Probably an Inbound Import / Break Bulk Center
California,LGB4,"27517 Pioneer Ave, Redlands, California, USA, 92374-1501","750,000","June
2017","Larger items, such as sports equipment, patio furniture and pet food."
California,SNA6/ SNA9,"5250 Goodman Way, Eastvale. California, USA, 91752-5088","1,033,200","October
2016",Small Sortable
California,,"Goodman Commerce Center, Antu-Galleano Ranch Road Exit on the 1-15, Eastvale, California, USA, 91752","1,000,000",2018,Large Non-Sortable
California,LGB6,"20901 Krameria Avenue, Riverside. California. USA, 92508",1.000.000,Q4 2017,Large Non-Sortable
California,SNA7/ SNA8,"555 East Orange Road, Gateway South Building 3, San Bernardino, California, USA, 92408-2453","1,102,600","March
2016",Small Sortable
California,SMF1,"4900 W Elkhorn Blvd, Sacramento, California, USA, 95835-9505","855,000","October
2017",Small Sortable
California,,"Near Stockton Metro Airport, Stockton, California, USA","600,000",2018,Large Non-Sortable 1000 associates
California,OAK3,"255 Park Center Drive,
Patterson, California, USA, 95363-8876","1,000,000","October
2013",Large Non-Sortable 1000 people
California,OAK4/ OAK6,"1555 N. Chrisman Rd., Tracy, California, USA, 95304-9370","1,200,000","October
2013","OAK4 is a Small Sortable Fulfillment Center Facility includes automation / robotics (Kiva) for small sortable products
OAK6: Amazon.Fresh
2,500 people"
California,SJC7,"188 Mountain House Parkway. Tracy, California. USA. 95377- 8906","1,001.400","October
2016","Large Non-Sortable. Ships larger products
such as barbecues and appliances."
California,XUSD,"1909 Zephyr Street, Stockton, California, USA, 95206","508000
,","October
2013","Large Non-Sortable (e.g. canoes, fishing rods)
Outsourced to 3PL Menlo Logistics"
California,SNA4,"2496 W Walnut Ave., Rialto.
California, USA, 92376-3009",882.200,"November
2015",Large Non-Sortable 300 people
California,XUSJ,"1590 N Tamarind Ave., Rialto, California, USA, 92376","543,400","September
2016","Large Non-Sortable
Run By 3PL XPO Logistics"
California,,"South Orange Avenue near Central Avenue, Fresno, California. USA,","855,000","July
2018",Sortable
Colorado,DEN1,"14601 Grant Street, Thornton, Colorado, USA,","855,000","August
2018","Sortable
1,500 associates to be hired"
Colorado,DEN2,"240006 E. 19th Avenue, Aurora, Colorado, USA, 80019","1,000,000","September
2017","Large Non-Sortable
1,000 associates to be hired"
