Capstone Data,,,,,,,,,,,
,,,,,,,,,,,
Analyst Adjusted,,,,,,,,,,,
Data Group: Financial Data,,,,"Years Displayed: 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",,,,,,,
,,,,,,,,,,,
25 October 2017 07:59:37 PM Eastern Standard Time,,,,,,,,,,,
,,,,,,,,,,,
,,,,General Entity Information,,,Financial Data : Demographic Statistics,Financial Data : Tax Base Statistics and Ratios,,,
,,Code,Years,Current Senior Most Rating*,Tax Backed Rating Description,State,"County Annual Unemployment Rate (BLS Data, %)",Total Full Value ($000),Full Value Per Capita ($),,
Median,Median,,2017,N/A,N/A,N/A,N/A,"422,116,900","91,966",,
,Median,,2016,N/A,N/A,N/A,N/A,"7,758,998","82,797",,
,Median,,2015,N/A,N/A,N/A,5.3,"6,877,899","80,651",,
,Median,,2014,N/A,N/A,N/A,6.0,"6,579,142","78,643",,
,Median,,2013,N/A,N/A,N/A,7.1,"6,407,995.50","77,784",,
,Median,,2012,N/A,N/A,N/A,7.5,"6,384,469.50","76,957",,
,Median,,2011,N/A,N/A,N/A,8.4,"6,402,929","78,582.50",,
,Median,,2010,N/A,N/A,N/A,9.1,"6,641,548","79,612",,
"Abbeville County, SC",Abbeville County SC,2273,2017,N/A,N/A,SC,N/A,N/A,N/A,,
,Abbeville County SC,2273,2016,N/A,N/A,SC,N/A,N/A,N/A,,
,Abbeville County SC,2273,2015,N/A,N/A,SC,6.9,N/A,N/A,,
,Abbeville County SC,2273,2014,N/A,N/A,SC,7.7,N/A,N/A,,
,Abbeville County SC,2273,2013,N/A,N/A,SC,9.0,N/A,N/A,,
,Abbeville County SC,2273,2012,N/A,N/A,SC,10.2,N/A,N/A,,
,Abbeville County SC,2273,2011,N/A,N/A,SC,11.7,N/A,N/A,,
,Abbeville County SC,2273,2010,N/A,N/A,SC,13.3,N/A,N/A,,
"Acadia Parish, LA",Acadia Parish LA,1079,2017,N/A,N/A,LA,N/A,N/A,N/A,,
,Acadia Parish LA,1079,2016,N/A,N/A,LA,N/A,N/A,N/A,,
,Acadia Parish LA,1079,2015,N/A,N/A,LA,6.7,N/A,N/A,,
,Acadia Parish LA,1079,2014,N/A,N/A,LA,5.8,N/A,N/A,,
,Acadia Parish LA,1079,2013,N/A,N/A,LA,5.6,N/A,N/A,,
,Acadia Parish LA,1079,2012,N/A,N/A,LA,5.6,N/A,N/A,,
,Acadia Parish LA,1079,2011,N/A,N/A,LA,6.2,N/A,N/A,,
,Acadia Parish LA,1079,2010,N/A,N/A,LA,6.7,N/A,N/A,,
"Accomack County, VA",Accomack County VA,2762,2017,N/A,N/A,VA,N/A,N/A,N/A,,
,Accomack County VA,2762,2016,N/A,N/A,VA,N/A,N/A,N/A,,
,Accomack County VA,2762,2015,N/A,N/A,VA,5.4,N/A,N/A,,
,Accomack County VA,2762,2014,N/A,N/A,VA,6.6,N/A,N/A,,
,Accomack County VA,2762,2013,N/A,N/A,VA,6.5,N/A,N/A,,
,Accomack County VA,2762,2012,N/A,N/A,VA,6.9,N/A,N/A,,
,Accomack County VA,2762,2011,N/A,N/A,VA,7.3,N/A,N/A,,
,Accomack County VA,2762,2010,N/A,N/A,VA,7.2,N/A,N/A,,
"Ada County, ID",Ada County ID,616,2017,Aa1,ISSUER LT RATING,ID,N/A,N/A,N/A,,
,Ada County ID,616,2016,Aa1,ISSUER LT RATING,ID,N/A,"42,940,841","98,894",,
,Ada County ID,616,2015,Aa1,ISSUER LT RATING,ID,3.6,"39,624,353","94,908",,
,Ada County ID,616,2014,Aa1,ISSUER LT RATING,ID,4.2,"34,805,338","85,049",,
,Ada County ID,616,2013,Aa1,ISSUER LT RATING,ID,5.5,"32,165,276","80,078",,
,Ada County ID,616,2012,Aa1,ISSUER LT RATING,ID,6.3,"32,437,334","82,128",,
,Ada County ID,616,2011,Aa1,ISSUER LT RATING,ID,7.6,"35,461,345","91,354",,
,Ada County ID,616,2010,Aa1,ISSUER LT RATING,ID,8.9,"40,698,757","103,727",,
"Adair County, IA",Adair County IA,517,2017,Aa3,LT SR GO,IA,N/A,N/A,N/A,,
,Adair County IA,517,2016,Aa3,LT SR GO,IA,N/A,"1,164,845","156,860",,
,Adair County IA,517,2015,Aa3,LT SR GO,IA,3.2,"1,151,297","155,036",,
,Adair County IA,517,2014,Aa3,LT SR GO,IA,4.0,"1,159,837","153,763",,
,Adair County IA,517,2013,Aa3,LT SR GO,IA,3.9,"1,127,271","148,560",,
,Adair County IA,517,2012,Aa3,LT SR GO,IA,4.2,"908,869","119,149",,
,Adair County IA,517,2011,Aa3,LT SR GO,IA,4.8,"889,426","115,525",,
,Adair County IA,517,2010,Aa3,LT SR GO,IA,5.3,"737,647","96,023",,
"Adair County, KY",Adair County KY,960,2017,N/A,N/A,KY,N/A,N/A,N/A,,
,Adair County KY,960,2016,N/A,N/A,KY,N/A,N/A,N/A,,
,Adair County KY,960,2015,N/A,N/A,KY,7.6,N/A,N/A,,
,Adair County KY,960,2014,N/A,N/A,KY,8.7,N/A,N/A,,
,Adair County KY,960,2013,N/A,N/A,KY,8.3,N/A,N/A,,
,Adair County KY,960,2012,N/A,N/A,KY,7.7,N/A,N/A,,
,Adair County KY,960,2011,N/A,N/A,KY,9.7,N/A,N/A,,
,Adair County KY,960,2010,N/A,N/A,KY,10.5,N/A,N/A,,
"Adair County, MO",Adair County MO,1370,2017,N/A,N/A,MO,N/A,N/A,N/A,,
,Adair County MO,1370,2016,N/A,N/A,MO,N/A,N/A,N/A,,
,Adair County MO,1370,2015,N/A,N/A,MO,5.6,N/A,N/A,,
,Adair County MO,1370,2014,N/A,N/A,MO,6.5,N/A,N/A,,
,Adair County MO,1370,2013,N/A,N/A,MO,5.4,N/A,N/A,,
,Adair County MO,1370,2012,N/A,N/A,MO,6.0,N/A,N/A,,
,Adair County MO,1370,2011,N/A,N/A,MO,7.4,N/A,N/A,,
,Adair County MO,1370,2010,N/A,N/A,MO,7.3,N/A,N/A,,
"Adair County, OK",Adair County OK,2094,2017,N/A,N/A,OK,N/A,N/A,N/A,,
,Adair County OK,2094,2016,N/A,N/A,OK,N/A,N/A,N/A,,
,Adair County OK,2094,2015,N/A,N/A,OK,5.9,N/A,N/A,,
,Adair County OK,2094,2014,N/A,N/A,OK,8.0,N/A,N/A,,
,Adair County OK,2094,2013,N/A,N/A,OK,7.6,N/A,N/A,,
,Adair County OK,2094,2012,N/A,N/A,OK,7.0,N/A,N/A,,
,Adair County OK,2094,2011,N/A,N/A,OK,7.0,N/A,N/A,,
,Adair County OK,2094,2010,N/A,N/A,OK,8.5,N/A,N/A,,
"Adams County, CO",Adams County CO,225,2017,Aa1,ISSUER LT RATING,CO,N/A,N/A,N/A,,
,Adams County CO,225,2016,Aa1,ISSUER LT RATING,CO,N/A,"39,572,105","79,432",,
,Adams County CO,225,2015,Aa1,ISSUER LT RATING,CO,4.3,N/A,N/A,,
,Adams County CO,225,2014,Aa1,ISSUER LT RATING,CO,5.7,N/A,N/A,,
,Adams County CO,225,2013,Aa1,ISSUER LT RATING,CO,7.5,N/A,N/A,,
,Adams County CO,225,2012,Aa1,ISSUER LT RATING,CO,9.2,N/A,N/A,,
,Adams County CO,225,2011,Aa1,ISSUER LT RATING,CO,10.0,"32,933,180","75,831",,
,Adams County CO,225,2010,Aa1,ISSUER LT RATING,CO,10.2,"33,332,883","75,482",,
"Adams County, IA",Adams County IA,518,2017,N/A,N/A,IA,N/A,N/A,N/A,,
,Adams County IA,518,2016,N/A,N/A,IA,N/A,N/A,N/A,,
,Adams County IA,518,2015,N/A,N/A,IA,2.7,N/A,N/A,,
,Adams County IA,518,2014,N/A,N/A,IA,3.3,N/A,N/A,,
,Adams County IA,518,2013,N/A,N/A,IA,3.8,N/A,N/A,,
,Adams County IA,518,2012,N/A,N/A,IA,4.4,N/A,N/A,,
,Adams County IA,518,2011,N/A,N/A,IA,4.9,N/A,N/A,,
,Adams County IA,518,2010,N/A,N/A,IA,5.2,N/A,N/A,,
"Adams County, ID",Adams County ID,617,2017,N/A,N/A,ID,N/A,N/A,N/A,,
,Adams County ID,617,2016,N/A,N/A,ID,N/A,N/A,N/A,,
,Adams County ID,617,2015,N/A,N/A,ID,7.6,N/A,N/A,,
,Adams County ID,617,2014,N/A,N/A,ID,9.9,N/A,N/A,,
,Adams County ID,617,2013,N/A,N/A,ID,12.8,N/A,N/A,,
,Adams County ID,617,2012,N/A,N/A,ID,13.9,N/A,N/A,,
,Adams County ID,617,2011,N/A,N/A,ID,16.8,N/A,N/A,,
,Adams County ID,617,2010,N/A,N/A,ID,17.2,N/A,N/A,,
"Adams County, IL",Adams County IL,660,2017,N/A,N/A,IL,N/A,N/A,N/A,,
,Adams County IL,660,2016,N/A,N/A,IL,N/A,N/A,N/A,,
,Adams County IL,660,2015,N/A,N/A,IL,5.0,N/A,N/A,,
,Adams County IL,660,2014,N/A,N/A,IL,5.3,N/A,N/A,,
,Adams County IL,660,2013,N/A,N/A,IL,6.5,N/A,N/A,,
,Adams County IL,660,2012,N/A,N/A,IL,6.2,N/A,N/A,,
,Adams County IL,660,2011,N/A,N/A,IL,6.5,N/A,N/A,,
,Adams County IL,660,2010,N/A,N/A,IL,7.4,N/A,N/A,,
"Adams County, IN",Adams County IN,762,2017,N/A,N/A,IN,N/A,N/A,N/A,,
,Adams County IN,762,2016,N/A,N/A,IN,N/A,N/A,N/A,,
,Adams County IN,762,2015,N/A,N/A,IN,3.8,N/A,N/A,,
,Adams County IN,762,2014,N/A,N/A,IN,4.6,N/A,N/A,,
,Adams County IN,762,2013,N/A,N/A,IN,6.6,N/A,N/A,,
,Adams County IN,762,2012,N/A,N/A,IN,7.8,N/A,N/A,,
,Adams County IN,762,2011,N/A,N/A,IN,8.4,N/A,N/A,,
,Adams County IN,762,2010,N/A,N/A,IN,11.1,N/A,N/A,,
"Adams County, MS",Adams County MS,1484,2017,N/A,N/A,MS,N/A,N/A,N/A,,
,Adams County MS,1484,2016,N/A,N/A,MS,N/A,N/A,N/A,,
,Adams County MS,1484,2015,N/A,N/A,MS,8.1,N/A,N/A,,
,Adams County MS,1484,2014,N/A,N/A,MS,8.4,N/A,N/A,,
,Adams County MS,1484,2013,N/A,N/A,MS,8.6,N/A,N/A,,
,Adams County MS,1484,2012,N/A,N/A,MS,9.4,N/A,N/A,,
,Adams County MS,1484,2011,N/A,N/A,MS,10.4,N/A,N/A,,
,Adams County MS,1484,2010,N/A,N/A,MS,10.6,N/A,N/A,,
"Adams County, ND",Adams County ND,1721,2017,N/A,N/A,ND,N/A,N/A,N/A,,
,Adams County ND,1721,2016,N/A,N/A,ND,N/A,N/A,N/A,,
,Adams County ND,1721,2015,N/A,N/A,ND,2.9,N/A,N/A,,
,Adams County ND,1721,2014,N/A,N/A,ND,2.7,N/A,N/A,,
,Adams County ND,1721,2013,N/A,N/A,ND,2.3,N/A,N/A,,
,Adams County ND,1721,2012,N/A,N/A,ND,2.7,N/A,N/A,,
,Adams County ND,1721,2011,N/A,N/A,ND,2.7,N/A,N/A,,
,Adams County ND,1721,2010,N/A,N/A,ND,2.9,N/A,N/A,,
"Adams County, NE",Adams County NE,1774,2017,N/A,N/A,NE,N/A,N/A,N/A,,
,Adams County NE,1774,2016,N/A,N/A,NE,N/A,N/A,N/A,,
,Adams County NE,1774,2015,N/A,N/A,NE,3.1,N/A,N/A,,
,Adams County NE,1774,2014,N/A,N/A,NE,3.4,N/A,N/A,,
,Adams County NE,1774,2013,N/A,N/A,NE,3.5,N/A,N/A,,
,Adams County NE,1774,2012,N/A,N/A,NE,3.6,N/A,N/A,,
,Adams County NE,1774,2011,N/A,N/A,NE,4.1,N/A,N/A,,
