AMZ_Code,Location,Square Feet,Description of Operation,Type,City,Year,moodys_county,county,moodys_code,ACS_year,Current Senior Most Rating*,Tax Backed Rating Description,Population (ACS Data),Per Capita Income  (ACS Data),Median Family Income  (ACS Data),Median Home Value (ACS Data),Median Gross Rent (ACS Data),Occupied Housing Units (ACS Data),Seasonal Homes (ACS Data),No. Persons/Household (ACS Data),Median Age (ACS Data),% Below Poverty Level (ACS Data)
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ","Maricopa County, AZ",160.0,2017.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2016.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2015.0,Aaa,ISSUER LT RATING,"4,018,143","27,832","64,751","187,100",962,"1,442,518","81,978",3.0,36.0,17.0
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2014.0,Aaa,ISSUER LT RATING,"3,947,382","27,477","64,072","175,600",952,"1,424,244","78,934",3.0,35.0,17.0
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2013.0,Aaa,ISSUER LT RATING,"3,889,161","27,256","63,910","176,500",943,"1,411,727","73,195",3.0,35.0,17.0
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2012.0,Aaa,ISSUER LT RATING,"3,841,819","27,552","64,841","193,900",944,"1,402,149","67,703",3.0,35.0,16.0
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2011.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2010.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2009.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2008.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2007.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2006.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2005.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2004.0,Aaa,ISSUER LT RATING,,,,,,,,,,
DPX1,"500 S. 48th Street, Phoenix, Arizona, USA, 85034",,Delivery Station for Phoenix West Valley Co-located in UAZ1,Delivery Station,Phoenix,2015.0,"Maricopa County, AZ",,160.0,2003.0,Aaa,ISSUER LT RATING,,,,,,,,,,
