,,Code,Include in Amazon Dataset,Years,Current Senior Most Rating*,Tax Backed Rating Description,State,Population (ACS Data),Per Capita Income  (ACS Data),Median Family Income  (ACS Data),Median Home Value (ACS Data),Median Gross Rent (ACS Data),Occupied Housing Units (ACS Data),Seasonal Homes (ACS Data),No. Persons/Household (ACS Data),Median Age (ACS Data),% Below Poverty Level (ACS Data)
Median,Median,#N/A,,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2015,N/A,N/A,N/A,"25,783","23,499","56,136","110,100",648,"9,800",433,3,41,16
,Median,#N/A,,2014,N/A,N/A,N/A,"25,801","23,262","55,624","107,600",644,"9,786",428,3,41,16
,Median,#N/A,,2013,N/A,N/A,N/A,"25,830","22,844","54,630","106,600",630,"9,781",415,3,41,16
,Median,#N/A,,2012,N/A,N/A,N/A,"25,840","22,542","54,191","105,700",618,"9,825",418,3,40,16
,Median,#N/A,,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Median,#N/A,,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Abbeville County, SC","Abbeville County, SC",2273,#VALUE!,2017,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2016,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2015,N/A,N/A,SC,"24,997","18,112","44,918","88,300",562,"9,573",964,3,43,22.5
,"Abbeville County, SC",2273,#VALUE!,2014,N/A,N/A,SC,"25,100","18,303","45,694","89,000",583,"9,752",927,2,43,23
,"Abbeville County, SC",2273,#VALUE!,2013,N/A,N/A,SC,"25,233","18,134","47,211","91,200",629,"9,809",875,2,43,22
,"Abbeville County, SC",2273,#VALUE!,2012,N/A,N/A,SC,"25,387","17,876","46,983","90,300",593,"9,878",905,2,42,21
,"Abbeville County, SC",2273,#VALUE!,2011,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2010,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2009,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2008,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2007,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2006,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2005,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2004,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2003,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2002,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Abbeville County, SC",2273,#VALUE!,2001,N/A,N/A,SC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Acadia Parish, LA","Acadia Parish, LA",1079,#VALUE!,2017,N/A,N/A,LA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Acadia Parish, LA",1079,#VALUE!,2016,N/A,N/A,LA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Acadia Parish, LA",1079,#VALUE!,2015,N/A,N/A,LA,"62,163","20,552","46,837","91,000",535,"22,599",421,3,36,20.6
,"Acadia Parish, LA",1079,#VALUE!,2014,N/A,N/A,LA,"62,031","20,264","44,554","88,500",536,"22,788",341,3,36,20
,"Acadia Parish, LA",1079,#VALUE!,2013,N/A,N/A,LA,"61,847","19,910","46,159","88,600",524,"22,527",265,3,36,19
,"Acadia Parish, LA",1079,#VALUE!,2012,N/A,N/A,LA,"61,611","19,369","44,552","88,900",541,"22,173",329,3,36,19
,"Acadia Parish, LA",1079,#VALUE!,2011,N/A,N/A,LA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"Acadia Parish, LA",1079,#VALUE!,2010,N/A,N/A,LA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
